person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,male,Bachelor,$216.483,0,MORTGAGE,$9.950,VENTURE,"11,26","5,00%",2,601,No,0
25,male,Master,$210.903,4,MORTGAGE,$8.000,HOMEIMPROVEMENT,"7,9","4,00%",2,588,Yes,0
22,male,Associate,$210.555,0,MORTGAGE,$18.000,EDUCATION,"11,01","9,00%",2,652,No,0
23,female,Associate,$18.926,0,OWN,$4.600,VENTURE,"10,99","24,00%",2,688,No,1
22,male,Associate,$106.694,0,RENT,$25.000,DEBTCONSOLIDATION,"15,58","23,00%",2,667,No,1
25,male,Master,$90.718,4,RENT,$25.000,MEDICAL,"10,99","28,00%",2,692,No,1
23,male,High School,$112.633,1,RENT,$25.000,DEBTCONSOLIDATION,"14,59","22,00%",2,633,No,1
22,male,High School,$210.938,0,RENT,$3.500,VENTURE,"11,91","2,00%",2,588,No,0
21,female,Associate,$19.169,2,MORTGAGE,$1.500,EDUCATION,"10,59","8,00%",2,537,Yes,0
24,female,High School,$118.417,0,RENT,$25.000,HOMEIMPROVEMENT,"12,61","21,00%",2,625,No,1
26,female,High School,$133.476,0,RENT,$25.000,PERSONAL,"11,01","19,00%",2,641,Yes,0
24,male,High School,$190.735,1,RENT,$25.000,HOMEIMPROVEMENT,"14,59","13,00%",2,653,No,1
24,male,Associate,$100.758,0,RENT,$25.000,MEDICAL,"11,01","25,00%",2,635,No,1
24,female,Master,$133.231,3,RENT,$25.000,HOMEIMPROVEMENT,"15,7","19,00%",2,675,Yes,0
25,female,Master,$161.894,0,RENT,$5.000,MEDICAL,"16,49","3,00%",2,609,No,1
25,female,Bachelor,$205.144,0,MORTGAGE,$20.000,EDUCATION,"7,49","10,00%",2,545,Yes,0
22,female,High School,$121.617,2,RENT,$25.000,DEBTCONSOLIDATION,"14,96","21,00%",2,629,No,1
25,female,High School,$145.233,3,RENT,$25.000,MEDICAL,"10,74","17,00%",2,683,No,0
23,male,Bachelor,$145.002,1,RENT,$25.000,EDUCATION,"9,99","17,00%",2,670,Yes,0
24,male,Master,$110.953,0,RENT,$25.000,MEDICAL,"15,33","23,00%",2,662,No,1
23,female,Bachelor,$156.995,3,RENT,$25.000,EDUCATION,"16,02","16,00%",2,656,Yes,0
26,female,Bachelor,$205.060,2,MORTGAGE,$12.000,VENTURE,"13,57","6,00%",2,658,No,0
25,female,Master,$202.525,1,MORTGAGE,$35.000,PERSONAL,"10,65","17,00%",2,589,Yes,0
24,male,Associate,$161.487,1,RENT,$25.000,DEBTCONSOLIDATION,"10,37","15,00%",2,641,No,0
25,female,Bachelor,$161.560,0,RENT,$25.000,MEDICAL,"10,62","15,00%",2,660,Yes,0
25,male,High School,$19.423,3,OWN,$3.200,VENTURE,"18,09","16,00%",2,586,No,1
22,female,Master,$184.800,1,MORTGAGE,$24.000,DEBTCONSOLIDATION,"15,62","13,00%",2,670,No,1
23,male,Associate,$20.044,3,OWN,$6.000,MEDICAL,"7,9","30,00%",2,618,No,1
24,male,Master,$20.353,2,OWN,$3.625,VENTURE,"17,14","18,00%",2,648,No,1
25,male,Bachelor,$210.932,0,RENT,$25.000,PERSONAL,"8,9","12,00%",2,621,No,0
24,male,Associate,$223.194,0,RENT,$25.000,HOMEIMPROVEMENT,"12,68","11,00%",2,676,Yes,0
25,female,Associate,$195.560,0,RENT,$25.000,PERSONAL,"11,03","13,00%",2,677,Yes,0
22,male,High School,$20.896,0,MORTGAGE,$2.000,EDUCATION,"10,65","10,00%",2,596,No,0
23,female,Associate,$192.873,0,MORTGAGE,$35.000,PERSONAL,"7,66","18,00%",2,684,Yes,0
26,male,High School,$68.297,3,RENT,$24.250,MEDICAL,"14,96","36,00%",2,507,No,1
22,male,Master,$89.977,3,RENT,$24.250,DEBTCONSOLIDATION,"15,65","27,00%",2,692,No,1
24,female,Associate,$79.510,2,RENT,$24.250,MEDICAL,"15,7","30,00%",2,604,No,1
23,male,High School,$120.966,0,RENT,$24.250,PERSONAL,"12,87","20,00%",2,565,No,0
23,male,Master,$124.437,0,RENT,$24.250,PERSONAL,"15,7","19,00%",2,718,Yes,0
23,male,High School,$193.097,0,MORTGAGE,$25.000,EDUCATION,"15,65","13,00%",2,564,Yes,0
25,male,Master,$193.300,3,MORTGAGE,$20.000,VENTURE,"13,47","10,00%",2,531,Yes,0
22,male,Associate,$21.205,0,MORTGAGE,$4.750,HOMEIMPROVEMENT,"13,85","22,00%",2,658,No,1
25,male,High School,$139.035,7,RENT,$24.250,HOMEIMPROVEMENT,"11,36","17,00%",2,633,No,0
24,female,High School,$58.262,1,RENT,$24.000,VENTURE,"16,29","41,00%",2,522,No,1
21,female,Master,$55.113,0,RENT,$24.000,EDUCATION,"16,29","44,00%",2,645,No,1
25,male,Bachelor,$63.361,2,RENT,$24.000,PERSONAL,"10,74","38,00%",2,592,No,1
24,female,Bachelor,$57.356,3,RENT,$24.000,PERSONAL,"17,8","42,00%",2,672,No,1
22,female,Bachelor,$21.790,0,MORTGAGE,$1.000,VENTURE,"11,36","5,00%",2,686,Yes,0
21,female,Associate,$72.902,0,RENT,$24.000,MEDICAL,"10,75","33,00%",2,601,No,1
22,male,Master,$75.959,0,RENT,$24.000,EDUCATION,"14,84","32,00%",2,642,No,1
26,male,Associate,$79.222,7,RENT,$24.000,DEBTCONSOLIDATION,"11,01","30,00%",2,616,No,1
23,male,High School,$71.875,1,RENT,$24.000,DEBTCONSOLIDATION,"19,69","33,00%",2,585,No,1
23,male,Associate,$89.735,2,RENT,$24.000,DEBTCONSOLIDATION,"10,99","27,00%",2,689,No,1
24,female,Bachelor,$96.989,4,RENT,$24.000,MEDICAL,"10,25","25,00%",2,603,No,0
23,female,Master,$22.583,1,OWN,$4.000,EDUCATION,"5,99","18,00%",2,645,No,1
23,female,Bachelor,$90.900,0,RENT,$24.000,PERSONAL,"12,92","26,00%",2,672,No,1
25,male,High School,$114.870,4,RENT,$24.000,EDUCATION,"8,9","21,00%",2,653,No,0
21,female,Bachelor,$22.392,0,OWN,$5.000,EDUCATION,"11,11","22,00%",2,594,No,1
22,female,Associate,$118.299,0,RENT,$24.000,DEBTCONSOLIDATION,"11,01","20,00%",2,503,No,1
23,male,Bachelor,$22.957,1,MORTGAGE,$2.500,MEDICAL,"15,95","11,00%",2,594,No,1
25,female,Bachelor,$163.004,3,RENT,$24.000,PERSONAL,"10,99","15,00%",2,662,No,0
24,male,High School,$163.035,2,RENT,$24.000,HOMEIMPROVEMENT,"13,79","15,00%",2,636,Yes,0
23,male,Master,$166.378,0,RENT,$24.000,DEBTCONSOLIDATION,16,"14,00%",2,714,No,1
26,male,Bachelor,$178.439,0,RENT,$24.000,EDUCATION,"18,3","13,00%",2,615,No,1
26,male,Bachelor,$204.962,2,RENT,$24.000,DEBTCONSOLIDATION,"11,01","12,00%",2,552,Yes,0
24,male,Associate,$53.633,4,RENT,$23.975,HOMEIMPROVEMENT,"11,01","45,00%",2,678,No,1
23,female,Master,$144.983,2,RENT,$23.750,MEDICAL,"13,47","16,00%",2,676,No,0
24,male,High School,$22.664,0,MORTGAGE,$10.000,DEBTCONSOLIDATION,"12,18","44,00%",2,649,No,1
22,male,Bachelor,$22.564,1,OWN,$4.000,MEDICAL,"11,01","18,00%",2,684,No,1
22,male,Bachelor,$22.786,0,OWN,$5.400,MEDICAL,"15,31","24,00%",2,647,No,1
21,female,Bachelor,$22.666,0,OWN,$3.375,VENTURE,"11,01","15,00%",2,630,No,1
22,male,Bachelor,$81.701,1,RENT,$23.400,VENTURE,"7,49","29,00%",2,589,No,1
25,female,Master,$68.579,1,RENT,$23.000,EDUCATION,"11,01","34,00%",2,665,No,1
23,male,Master,$82.567,0,RENT,$23.000,EDUCATION,"9,62","28,00%",2,558,No,1
25,male,Bachelor,$97.251,2,RENT,$23.000,VENTURE,"11,01","24,00%",2,683,Yes,0
24,male,Associate,$106.607,1,RENT,$23.000,VENTURE,"14,54","22,00%",2,641,No,1
23,female,Bachelor,$84.865,3,RENT,$22.500,DEBTCONSOLIDATION,"14,27","27,00%",2,655,No,1
26,female,Bachelor,$84.801,4,RENT,$22.500,EDUCATION,"18,99","27,00%",2,605,No,1
25,female,High School,$53.119,1,RENT,$22.000,HOMEIMPROVEMENT,"13,11","41,00%",2,597,No,1
25,male,Bachelor,$63.311,1,RENT,$22.000,PERSONAL,"10,74","35,00%",2,689,No,1
25,female,High School,$70.598,5,RENT,$22.000,MEDICAL,"14,65","31,00%",2,616,No,1
24,male,Bachelor,$73.043,0,RENT,$22.000,VENTURE,"14,26","30,00%",2,593,No,1
25,female,Bachelor,$23.627,4,MORTGAGE,$3.000,EDUCATION,"9,91","13,00%",2,649,No,1
22,female,Bachelor,$80.358,0,RENT,$22.000,EDUCATION,"11,01","27,00%",2,635,No,1
24,female,Master,$93.232,2,RENT,$22.000,EDUCATION,"9,25","24,00%",2,625,No,0
26,female,Associate,$100.246,1,RENT,$22.000,VENTURE,"12,69","22,00%",2,623,Yes,0
24,female,Bachelor,$23.667,3,OWN,$7.400,MEDICAL,"13,85","31,00%",2,662,No,1
25,male,Master,$99.394,1,RENT,$22.000,EDUCATION,"17,51","22,00%",2,646,No,1
22,male,Bachelor,$24.148,1,MORTGAGE,$4.950,PERSONAL,"11,71","20,00%",2,594,No,1
25,male,Bachelor,$69.353,1,RENT,$21.700,PERSONAL,"11,99","31,00%",2,664,No,1
24,male,High School,$65.946,0,RENT,$21.600,VENTURE,"13,49","33,00%",2,605,No,1
24,female,Bachelor,$135.365,1,RENT,$21.600,MEDICAL,"7,9","16,00%",2,556,No,0
25,male,Associate,$57.546,3,RENT,$21.250,VENTURE,"10,99","37,00%",2,610,No,1
25,male,Bachelor,$62.422,4,RENT,$21.250,VENTURE,"6,91","34,00%",2,588,No,1
22,male,Bachelor,$23.993,1,MORTGAGE,$5.000,DEBTCONSOLIDATION,"14,17","21,00%",2,691,No,1
26,male,Associate,$23.955,2,OWN,$9.250,EDUCATION,"11,01","39,00%",2,618,No,1
23,male,High School,$76.364,0,RENT,$21.000,MEDICAL,"11,36","27,00%",2,645,No,1
24,female,Associate,$95.767,2,RENT,$21.000,HOMEIMPROVEMENT,"7,9","22,00%",2,640,No,0
26,female,Associate,$24.183,5,OTHER,$7.500,PERSONAL,"11,97","31,00%",2,621,No,1
26,male,Associate,$150.692,7,RENT,$21.000,HOMEIMPROVEMENT,"8,9","14,00%",2,534,No,0
23,male,Bachelor,$99.197,1,RENT,$20.900,PERSONAL,"12,69","21,00%",2,638,No,0
21,female,Associate,$24.468,0,MORTGAGE,$15.000,EDUCATION,"9,64","61,00%",2,548,No,1
23,male,Bachelor,$65.613,0,RENT,$20.375,PERSONAL,"7,49","31,00%",2,518,No,1
26,male,High School,$32.325,4,RENT,$20.050,EDUCATION,"9,76","62,00%",2,652,No,1
25,male,Associate,$46.636,2,RENT,$20.000,MEDICAL,"13,11","43,00%",2,614,No,1
23,female,High School,$40.632,0,RENT,$20.000,EDUCATION,16,"49,00%",2,649,No,1
21,male,Bachelor,$44.226,0,RENT,$20.000,MEDICAL,"11,01","45,00%",2,637,No,1
25,male,Bachelor,$25.295,3,OWN,$5.650,PERSONAL,"15,99","22,00%",2,637,Yes,0
23,male,Associate,$55.291,3,RENT,$20.000,PERSONAL,"10,25","36,00%",2,632,No,1
24,female,High School,$54.919,4,RENT,$20.000,MEDICAL,"11,01","36,00%",2,670,No,1
24,male,Associate,$47.903,0,RENT,$20.000,MEDICAL,"14,74","42,00%",2,665,No,1
24,male,Associate,$56.744,0,RENT,$20.000,EDUCATION,"10,62","35,00%",2,582,No,1
25,female,Master,$25.654,6,MORTGAGE,$4.000,VENTURE,"5,79","16,00%",2,725,No,0
25,female,Bachelor,$60.990,1,RENT,$20.000,EDUCATION,"13,43","33,00%",2,691,No,1
22,female,Bachelor,$61.072,0,RENT,$20.000,DEBTCONSOLIDATION,"13,22","33,00%",2,681,No,1
22,male,Bachelor,$62.350,1,RENT,$20.000,EDUCATION,"13,47","32,00%",2,677,No,1
24,male,High School,$63.481,3,RENT,$20.000,EDUCATION,"15,65","32,00%",2,633,No,1
25,male,High School,$56.451,0,RENT,$20.000,DEBTCONSOLIDATION,"11,78","35,00%",2,646,No,1
24,female,Associate,$67.265,2,RENT,$20.000,HOMEIMPROVEMENT,"6,91","30,00%",2,525,No,1
23,male,Associate,$66.844,0,RENT,$20.000,DEBTCONSOLIDATION,"12,53","30,00%",2,655,No,1
23,male,High School,$24.853,0,MORTGAGE,$7.125,PERSONAL,"6,99","29,00%",2,631,Yes,0
23,male,Master,$69.387,2,RENT,$20.000,EDUCATION,"16,89","29,00%",2,600,No,1
23,male,Bachelor,$24.853,0,MORTGAGE,$2.500,EDUCATION,"16,82","10,00%",2,524,Yes,0
26,male,Associate,$24.751,2,MORTGAGE,$3.600,HOMEIMPROVEMENT,"11,01","15,00%",2,669,Yes,0
22,female,Associate,$70.529,1,RENT,$20.000,DEBTCONSOLIDATION,"13,11","28,00%",2,593,No,1
23,female,Bachelor,$72.969,1,RENT,$20.000,MEDICAL,"7,9","27,00%",2,579,No,1
24,female,Bachelor,$66.060,4,RENT,$20.000,VENTURE,"16,49","30,00%",2,671,No,1
26,male,Associate,$25.229,3,MORTGAGE,$7.000,HOMEIMPROVEMENT,8,"28,00%",2,626,Yes,0
24,female,Master,$72.762,6,RENT,$20.000,PERSONAL,"10,99","27,00%",2,677,No,1
23,male,Associate,$65.802,3,RENT,$20.000,PERSONAL,"11,12","30,00%",2,628,No,1
25,female,Associate,$73.028,1,RENT,$20.000,EDUCATION,"11,01","27,00%",2,654,No,1
23,female,Bachelor,$73.286,3,RENT,$20.000,EDUCATION,"12,21","27,00%",2,687,No,1
24,female,High School,$73.202,1,RENT,$20.000,PERSONAL,"11,14","27,00%",2,536,No,1
24,male,High School,$66.951,2,RENT,$20.000,VENTURE,"18,64","30,00%",2,632,No,1
24,male,High School,$75.484,2,RENT,$20.000,HOMEIMPROVEMENT,"11,12","26,00%",2,562,No,1
25,female,Bachelor,$75.802,2,RENT,$20.000,VENTURE,"11,48","26,00%",2,637,No,1
26,male,Bachelor,$70.484,4,RENT,$20.000,DEBTCONSOLIDATION,"10,25","28,00%",2,590,No,1
23,female,Bachelor,$79.348,0,RENT,$20.000,MEDICAL,"10,37","25,00%",2,703,No,1
25,male,Master,$26.133,4,OWN,$5.375,VENTURE,"13,49","21,00%",2,650,Yes,0
21,female,Bachelor,$25.869,0,MORTGAGE,$3.500,DEBTCONSOLIDATION,"17,27","14,00%",2,579,No,1
26,male,Associate,$79.098,2,RENT,$20.000,DEBTCONSOLIDATION,"11,99","25,00%",2,534,No,1
25,female,Associate,$71.754,4,RENT,$20.000,PERSONAL,"14,84","28,00%",2,540,No,1
23,male,High School,$71.688,0,RENT,$20.000,DEBTCONSOLIDATION,"10,83","28,00%",2,584,No,1
23,female,Associate,$79.539,5,RENT,$20.000,DEBTCONSOLIDATION,"13,22","25,00%",2,584,No,1
22,female,High School,$81.282,1,RENT,$20.000,EDUCATION,"12,18","25,00%",2,639,No,0
23,male,Bachelor,$81.580,1,RENT,$20.000,MEDICAL,"11,11","25,00%",2,607,Yes,0
24,female,Master,$81.639,4,RENT,$20.000,HOMEIMPROVEMENT,"13,48","24,00%",2,681,No,0
23,male,Bachelor,$84.428,1,RENT,$20.000,VENTURE,"17,74","24,00%",2,707,Yes,0
25,male,Bachelor,$85.061,1,RENT,$20.000,HOMEIMPROVEMENT,"9,99","24,00%",2,627,Yes,0
25,male,High School,$86.325,2,RENT,$20.000,PERSONAL,"14,09","23,00%",2,566,Yes,0
24,male,High School,$87.261,1,RENT,$20.000,MEDICAL,"11,83","23,00%",2,667,Yes,0
24,female,Bachelor,$25.826,4,OTHER,$6.000,PERSONAL,"12,21","23,00%",2,655,No,0
22,male,High School,$80.179,0,RENT,$20.000,DEBTCONSOLIDATION,"14,42","25,00%",2,655,No,1
21,male,Associate,$26.112,0,MORTGAGE,$4.500,HOMEIMPROVEMENT,"11,01","17,00%",2,608,No,1
22,male,Master,$91.033,1,RENT,$20.000,VENTURE,"11,01","22,00%",2,572,Yes,0
26,male,Master,$86.320,2,RENT,$20.000,HOMEIMPROVEMENT,"13,36","23,00%",2,655,No,1
24,male,Bachelor,$26.769,2,MORTGAGE,$8.000,MEDICAL,"5,42","30,00%",2,613,Yes,0
22,female,Associate,$27.119,0,MORTGAGE,$4.000,PERSONAL,"12,99","15,00%",2,540,Yes,0
22,female,Bachelor,$26.902,4,MORTGAGE,$1.400,VENTURE,"11,01","5,00%",2,653,Yes,0
23,female,High School,$74.473,0,RENT,$20.000,MEDICAL,"11,14","27,00%",2,460,No,1
21,male,Bachelor,$27.072,0,MORTGAGE,$3.800,DEBTCONSOLIDATION,"5,99","14,00%",2,643,No,0
23,female,High School,$97.783,0,RENT,$20.000,MEDICAL,"11,71","20,00%",2,563,Yes,0
24,male,Master,$26.747,1,MORTGAGE,$2.000,DEBTCONSOLIDATION,"14,84","7,00%",2,704,No,1
22,female,Bachelor,$99.459,0,RENT,$20.000,EDUCATION,"11,01","20,00%",2,691,No,0
26,female,Bachelor,$26.764,4,OWN,$3.000,VENTURE,"6,76","11,00%",2,642,No,0
25,female,Bachelor,$101.849,3,RENT,$20.000,EDUCATION,"13,92","20,00%",2,627,Yes,0
23,female,Bachelor,$26.678,1,OWN,$4.400,EDUCATION,"12,53","16,00%",2,610,Yes,0
21,male,Bachelor,$27.041,0,MORTGAGE,$10.000,DEBTCONSOLIDATION,"11,14","37,00%",2,534,Yes,0
24,female,Master,$95.807,5,RENT,$20.000,HOMEIMPROVEMENT,"14,11","21,00%",2,678,No,1
23,female,Bachelor,$103.275,0,RENT,$20.000,MEDICAL,"7,49","19,00%",2,597,Yes,0
26,male,Bachelor,$88.672,2,RENT,$20.000,PERSONAL,"12,53","23,00%",2,571,No,1
25,female,Associate,$102.975,0,RENT,$20.000,HOMEIMPROVEMENT,"11,01","19,00%",2,663,No,0
24,male,Associate,$27.558,0,MORTGAGE,$4.000,VENTURE,"11,01","15,00%",2,621,Yes,0
23,male,High School,$94.566,1,RENT,$20.000,HOMEIMPROVEMENT,"18,25","21,00%",2,611,No,1
22,female,Bachelor,$27.472,1,MORTGAGE,$7.000,EDUCATION,"11,71","25,00%",2,694,No,0
22,female,Bachelor,$111.365,1,RENT,$20.000,VENTURE,"15,65","18,00%",2,649,No,0
25,female,Bachelor,$27.570,0,MORTGAGE,$5.875,EDUCATION,"6,62","21,00%",2,680,No,1
25,male,Associate,$111.834,1,RENT,$20.000,MEDICAL,"9,25","18,00%",2,606,Yes,0
23,male,Bachelor,$27.666,0,MORTGAGE,$1.550,DEBTCONSOLIDATION,"7,49","6,00%",2,658,No,1
